PD_Default30,NOME_LOCALIDADE,DSC_CLASSE,conta_media,debito_total
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
0.8030347,CASEARA,COMERCIAL,582.37998453776,1168
